Идентификатор объекта;Адрес недвижимости;Тип недвижимости;Площадь объекта;Цена;Количество комнат;Состояние объекта;Контактные данные собственника;Статус объекта;Дата добавления информации
2251;ст. Пушкин, алл. Калинина, д. 5, 852269;дом;186;13392124;4;жилое;71394431749;зарезервирован;26.12.2020
2252;к. Моршанск, ул. Садовая, д. 929, 940900;дом;72;13043982;5;новостройка;8 (595) 362-25-23;продается;15.01.2023
2253;клх Нижнекамск, ш. Новосельское, д. 425 стр. 532, 630193;дом;172;6082768;3;требует ремонта;+7 (278) 403-38-43;сдается;27.09.2022
2254;ст. Заводоуковск, ул. Луговая, д. 7/3, 846372;квартира;65;2609084;5;жилое;+7 (837) 682-74-74;зарезервирован;09.02.2022
2255;ст. Новая Игирма, наб. Фестивальная, д. 2/4 к. 700, 337330;квартира;81;13138665;3;новостройка;8 (464) 763-07-84;продается;09.03.2023
2256;д. Тулпан, бул. Маяковского, д. 174, 877874;дом;173;13598072;1;новостройка;8 954 958 70 87;продается;10.06.2023
2257;г. Майкоп, ул. Березовая, д. 49 стр. 802, 385048;дом;85;9303621;3;требует ремонта;8 (437) 683-3276;сдается;19.06.2023
2258;с. Гагарин, алл. Литейная, д. 1 стр. 4, 395325;дом;182;11534429;4;жилое;+7 945 983 61 57;продается;21.10.2020
2259;д. Краснокамск, ш. Волкова, д. 148 стр. 4, 267048;дом;140;15719716;3;жилое;+7 (207) 804-75-16;продается;01.08.2022
2260;ст. Шадринск, ш. Ключевое, д. 2 к. 5, 999794;квартира;126;3811395;2;новостройка;70 318 552 701;продается;17.04.2021
2261;ст. Мичуринск, пер. Детский, д. 1, 617165;дом;82;10407800;1;требует ремонта;+7 520 139 62 73;продается;09.05.2021
2262;ст. Шенкурск, бул. Черемушки, д. 176 стр. 9, 485047;квартира;169;10966828;4;требует ремонта;8 (645) 274-9502;сдается;06.11.2022
2263;п. Нефтекамск, бул. Проезжий, д. 7 стр. 9/6, 100835;квартира;125;15137831;3;жилое;8 061 016 68 37;сдается;21.05.2023
2264;п. Томпа, ш. Парижской Коммуны, д. 724 к. 978, 542983;земельный участок;197;9556578;3;жилое;+7 (605) 461-21-95;сдается;01.04.2023
2265;ст. Кудымкар, ш. Малое, д. 8/8 к. 209, 659796;земельный участок;74;1678773;3;новостройка;82 773 024 155;зарезервирован;11.05.2021
2266;с. Минеральные Воды, наб. Звездная, д. 952 к. 5, 579114;квартира;46;15156800;3;жилое;+7 (580) 887-6665;сдается;07.07.2023
2267;г. Байкальск, пр. Баумана, д. 4, 210646;земельный участок;98;6681841;5;требует ремонта;+7 254 294 44 68;сдается;21.03.2021
2268;п. Карабулак, ул. Шевченко, д. 854 к. 576, 336665;земельный участок;105;15198326;2;новостройка;+7 497 904 83 90;зарезервирован;20.09.2020
2269;клх Казань, бул. Лунный, д. 88 к. 74, 356480;квартира;81;1494570;4;жилое;72 544 423 605;сдается;14.09.2020
2270;д. Осташков, алл. Шолохова, д. 6 к. 63, 783572;дом;81;3375946;1;требует ремонта;73636404777;продается;10.04.2022
2271;ст. Саранск, бул. Инженерный, д. 6/6 к. 9, 802757;дом;188;15850315;4;новостройка;8 937 190 11 38;продается;13.01.2021
2272;с. Шенкурск, пр. Юбилейный, д. 517, 626857;квартира;41;3239492;5;требует ремонта;8 257 340 05 62;продается;03.11.2020
2273;ст. Чермоз, бул. Гастелло, д. 392 стр. 70, 012250;квартира;131;16356942;1;новостройка;+7 (705) 219-47-27;сдается;12.04.2021
2274;ст. Мценск, пер. Таманский, д. 3 к. 65, 934933;земельный участок;67;8414528;2;требует ремонта;8 (249) 867-1569;зарезервирован;05.08.2022
2275;ст. Наро-Фоминск, алл. Донская, д. 805, 081569;земельный участок;139;6920250;2;требует ремонта;8 483 246 69 69;сдается;12.02.2022
2276;г. Королев, пер. Белорусский, д. 442, 106634;земельный участок;26;1432594;4;жилое;78351813112;сдается;06.11.2020
2277;с. Анадырь, пр. Тульский, д. 122 к. 6/2, 201590;дом;63;1549976;2;требует ремонта;+7 (262) 061-66-15;зарезервирован;25.11.2020
2278;п. Смирных, ш. Черняховского, д. 190 к. 9/4, 062927;квартира;46;4225455;2;требует ремонта;+7 (764) 945-6412;продается;14.08.2020
2279;клх Ардон, наб. Азовская, д. 796 к. 465, 131363;земельный участок;128;3313463;4;требует ремонта;8 (145) 017-30-67;сдается;12.09.2022
2280;п. Вуктыл, пер. Приозерный, д. 61, 362031;земельный участок;87;17466568;1;требует ремонта;8 (654) 841-97-54;сдается;24.01.2022
2281;п. Наро-Фоминск, бул. Поселковый, д. 686 стр. 8/5, 798608;дом;58;5950353;4;новостройка;+7 578 111 94 16;продается;18.01.2021
2282;д. Усть-Джегута, ш. Революции, д. 3 к. 7, 453965;земельный участок;164;13880315;1;требует ремонта;73 180 569 066;продается;06.12.2021
2283;п. Новокузнецк, пр. Красных Партизан, д. 836 к. 495, 908391;дом;99;10645617;2;жилое;79139915523;сдается;27.05.2022
2284;клх Карпинск, бул. Локомотивный, д. 9/3 к. 223, 785055;дом;94;1113829;4;требует ремонта;8 (441) 807-8593;сдается;28.07.2022
2285;к. Южно-Курильск, пер. Просторный, д. 3, 810741;дом;124;12491753;2;новостройка;+7 (539) 288-2242;зарезервирован;12.06.2021
2286;с. Буйнакск, ш. Поселковое, д. 8/3, 792516;земельный участок;158;16984645;2;новостройка;70385276393;продается;27.02.2022
2287;клх Токма, пр. Стахановский, д. 33 к. 66, 206063;квартира;89;3007663;4;требует ремонта;8 (024) 851-4825;зарезервирован;16.10.2021
2288;ст. Морозовск, пр. Амурский, д. 3/1 стр. 566, 851278;дом;94;17279124;5;требует ремонта;+7 922 745 56 17;сдается;20.06.2023
2289;клх Каменск-Уральский, алл. Заречная, д. 2 стр. 9, 720607;дом;122;11547020;1;требует ремонта;+7 663 970 81 16;продается;06.04.2021
2290;с. Карпинск, алл. Дарвина, д. 11, 850200;дом;161;18525931;3;жилое;+7 900 797 48 93;продается;20.03.2022
2291;клх Белокуриха, наб. Декабристов, д. 3/2 к. 53, 807630;земельный участок;144;16490739;2;жилое;73305459111;продается;29.04.2022
2292;п. Березники, ул. Кольцевая, д. 2/2, 534096;квартира;175;16050440;3;жилое;+7 (555) 170-5863;продается;21.11.2020
2293;клх Диксон, алл. Гайдара, д. 45 стр. 514, 769298;квартира;79;19923457;1;требует ремонта;+7 (929) 344-53-29;зарезервирован;23.11.2020
2294;д. Палана, наб. Рябиновая, д. 2 к. 7/6, 954348;земельный участок;134;15799006;2;жилое;85653274601;продается;17.08.2020
2295;клх Бузулук, ул. Песчаная, д. 7/7 к. 7/8, 928701;квартира;70;7631350;5;требует ремонта;70 151 390 917;зарезервирован;12.01.2022
2296;ст. Таганрог, пр. Заовражный, д. 9 к. 37, 112673;дом;144;10663738;3;жилое;8 (457) 068-68-61;зарезервирован;27.04.2021
2297;д. Забайкальск, пр. Мельничный, д. 85 к. 614, 999819;дом;91;6538941;4;требует ремонта;8 (552) 088-74-47;зарезервирован;02.11.2020
2298;с. Черусти, ул. Ушакова, д. 7, 148412;дом;39;6366481;4;жилое;8 (642) 456-13-26;зарезервирован;28.06.2023
2299;п. Нижнекамск, бул. Центральный, д. 49, 970703;земельный участок;91;7819150;3;новостройка;87 801 779 600;зарезервирован;29.03.2022
2300;к. Челюскин, пер. Дружбы, д. 9/1 к. 21, 084228;земельный участок;129;9409006;2;требует ремонта;79943381324;зарезервирован;03.01.2022
2301;д. Любань, наб. Кирова, д. 630 стр. 6/5, 882340;земельный участок;106;19682834;2;требует ремонта;77 708 242 055;сдается;12.11.2020
2302;с. Саянск, наб. Ростовская, д. 3/2 к. 5, 315392;дом;136;6149129;4;жилое;+7 (789) 314-7692;продается;21.10.2020
2303;г. Бирск, наб. Иванова, д. 630 стр. 310, 293641;земельный участок;156;13737428;4;жилое;85 690 932 773;сдается;17.05.2022
2304;с. Майкоп, бул. Чайкиной, д. 22 стр. 78, 671977;земельный участок;151;16816420;3;новостройка;81978458804;продается;02.06.2022
2305;к. Кабанск, бул. Чапаева, д. 5/6, 942207;земельный участок;38;4225185;3;новостройка;8 (878) 522-05-30;зарезервирован;30.09.2022
2306;д. Солнечногорск, пер. Средний, д. 320 стр. 73, 265263;дом;174;2022223;5;требует ремонта;73980386569;продается;07.07.2021
2307;к. Верхний Баскунчак, наб. 50 лет Победы, д. 6 к. 84, 204335;дом;175;8282364;3;жилое;86022257578;зарезервирован;19.08.2022
2308;п. Сибай, ш. Маяковского, д. 140 к. 7, 104581;дом;37;13229522;4;новостройка;8 (102) 386-81-09;сдается;04.04.2021
2309;п. Кажим, пр. Спортивный, д. 8 стр. 153, 962158;квартира;175;19675946;5;новостройка;78 188 981 687;зарезервирован;01.12.2020
2310;к. Игарка, ул. Некрасова, д. 9 к. 626, 478954;земельный участок;29;13070781;5;новостройка;+7 380 407 48 08;сдается;28.12.2020
2311;ст. Макаров, бул. Тамбовский, д. 48, 865200;земельный участок;76;1554193;1;требует ремонта;71 135 733 882;зарезервирован;04.11.2020
2312;с. Коломна, пер. Московский, д. 9 к. 5/6, 872608;земельный участок;98;7000684;5;новостройка;+7 (544) 847-33-11;сдается;28.12.2022
2313;с. Магас, пр. Шмидта, д. 6 стр. 767, 128782;дом;168;10331502;2;новостройка;+7 (233) 520-8037;зарезервирован;16.05.2023
2314;клх Калининград, наб. Почтовая, д. 8/7 стр. 59, 141340;дом;147;4720056;1;новостройка;+7 276 163 58 08;сдается;30.04.2022
2315;п. Катав-Ивановск, бул. Рабочий, д. 27, 819617;земельный участок;63;15641237;4;жилое;8 (908) 995-17-58;сдается;14.03.2023
2316;п. Можайск, ул. Вокзальная, д. 8, 257960;земельный участок;144;13568535;3;требует ремонта;85577864914;зарезервирован;12.09.2022
2317;клх Плесецк, пр. Юности, д. 3/1, 440991;дом;198;4746749;4;новостройка;77476485451;сдается;08.11.2021
2318;п. Череповец, наб. Чапаева, д. 6, 311027;дом;129;17746011;1;новостройка;8 (656) 274-5854;зарезервирован;12.02.2022
2319;к. Горно-Алтайск, бул. Шоссейный, д. 8, 768790;квартира;181;7365661;2;новостройка;8 (177) 634-8240;сдается;24.10.2021
2320;г. Домодедово, пр. Чкалова, д. 818 к. 3, 774796;земельный участок;84;10222477;2;требует ремонта;75669056191;сдается;24.10.2022
2321;клх Абакан, пр. Братский, д. 2 стр. 64, 959748;земельный участок;79;17656600;2;жилое;8 275 672 07 81;сдается;19.03.2021
2322;г. Сасово, алл. Кирова, д. 416, 517358;дом;128;11860622;4;жилое;82947599367;сдается;23.05.2021
2323;к. Кингисепп, пр. Шахтерский, д. 5/1 к. 972, 033309;дом;62;8140704;3;жилое;+7 (493) 919-5711;сдается;13.09.2022
2324;с. Краснотурьинск, ш. Ярославское, д. 60 стр. 8/5, 193838;квартира;134;1880854;2;жилое;+7 (125) 274-7993;продается;14.10.2020
2325;д. Ельня, алл. Юбилейная, д. 62 стр. 141, 841823;дом;131;17548626;2;жилое;+7 (446) 721-18-95;сдается;12.10.2021
2326;г. Всеволожск, ш. Выгонное, д. 7/2, 524840;квартира;126;18486327;1;жилое;+7 (590) 368-5336;сдается;31.05.2021
2327;к. Кабанск, пр. Ленина, д. 703 к. 9/4, 996955;квартира;125;14605075;4;новостройка;+7 (278) 326-1584;продается;14.04.2023
2328;с. Гремячинск (Перм.), пр. Заводской, д. 8/1, 545432;квартира;180;12999974;1;жилое;73 034 025 679;зарезервирован;05.08.2020
2329;д. Кизляр, пр. Королева, д. 33, 290677;квартира;48;18664294;1;новостройка;8 (268) 474-5179;сдается;30.11.2020
2330;ст. Великий Устюг, ул. Выгонная, д. 3/4, 845887;квартира;79;10394591;5;новостройка;+7 406 063 07 68;сдается;27.11.2021
2331;клх Слюдянка, ул. Томская, д. 1, 003351;земельный участок;152;16066758;1;новостройка;8 442 487 07 86;зарезервирован;21.12.2020
2332;клх Андреаполь, алл. Базарная, д. 1 стр. 42, 159395;земельный участок;60;15238699;3;новостройка;+7 229 144 21 23;сдается;06.03.2021
2333;к. Нягань, ул. Шолохова, д. 8/2 стр. 5/1, 801469;дом;42;8751504;3;жилое;86364698766;продается;06.10.2022
2334;клх Сковородино, ш. Физкультурное, д. 7, 084113;земельный участок;200;19732005;4;требует ремонта;+7 250 021 12 08;сдается;27.10.2021
2335;г. Челябинск, бул. Профсоюзный, д. 11 стр. 4/7, 813656;дом;62;1795894;4;новостройка;74 341 291 585;продается;25.10.2020
2336;к. Миасс, ш. Мая 1, д. 80, 184729;земельный участок;92;8077300;1;требует ремонта;8 169 583 11 75;зарезервирован;18.07.2022
2337;к. Алапаевск, пр. Новгородский, д. 255 стр. 481, 479925;дом;61;17422223;4;требует ремонта;8 854 249 22 07;сдается;21.04.2023
2338;с. Беслан, ул. Амурская, д. 34 к. 5/7, 080530;квартира;153;19280096;3;новостройка;8 (270) 506-8807;зарезервирован;29.09.2021
2339;п. Елец, ул. Тимирязева, д. 11 к. 4, 385480;квартира;176;10427153;5;требует ремонта;87 915 909 950;зарезервирован;16.10.2020
2340;г. Мокшан, бул. М.Горького, д. 736 к. 99, 047597;дом;191;14004549;2;новостройка;+7 (813) 979-26-17;зарезервирован;16.01.2022
2341;п. Слюдянка, бул. Демьяна Бедного, д. 6, 424069;квартира;144;18489332;3;жилое;+7 891 293 35 88;продается;03.05.2023
2342;г. Камышин, алл. Осипенко, д. 6, 252262;дом;23;7034985;1;жилое;+7 077 578 28 04;зарезервирован;01.01.2023
2343;к. Камышлов, алл. Тукая, д. 4 к. 413, 632892;дом;186;5403738;2;новостройка;8 (262) 100-26-63;продается;10.10.2022
2344;ст. Белый Яр (Томск.), наб. Азовская, д. 743 стр. 7, 379036;дом;66;10863153;5;требует ремонта;74614852072;зарезервирован;29.01.2021
2345;п. Клин, наб. Халтурина, д. 8/8 к. 492, 528672;земельный участок;85;9527906;4;новостройка;80926157803;продается;26.04.2022
2346;п. Шахты, пер. Металлистов, д. 82, 152529;квартира;187;5726985;3;требует ремонта;8 662 921 93 94;зарезервирован;06.02.2023
2347;к. Борзя, наб. Революции, д. 9 к. 79, 771153;дом;102;7959945;5;новостройка;88407356160;сдается;01.05.2021
2348;с. Кизел, пр. Ульяновский, д. 29, 735262;земельный участок;109;3616894;4;требует ремонта;+7 (807) 282-2294;зарезервирован;20.04.2023
2349;г. Кашира, алл. Новгородская, д. 5/8 к. 3, 162726;земельный участок;92;11094771;1;требует ремонта;85436984966;сдается;05.08.2021
2350;с. Кизел, пр. Гагарина, д. 958 к. 79, 645927;квартира;27;14493080;5;требует ремонта;71999947086;сдается;21.04.2021
2351;п. Льгов, ш. Нагорное, д. 784 стр. 7/3, 685174;земельный участок;30;1899063;3;жилое;+7 (438) 833-8995;зарезервирован;18.01.2023
2352;с. Любань, пр. Алтайский, д. 2 к. 1/7, 393379;земельный участок;63;10706677;1;жилое;8 (419) 167-6386;зарезервирован;16.07.2022
2353;с. Охотск, ш. З.Космодемьянской, д. 700 к. 5, 246431;дом;43;5787436;1;требует ремонта;86963191188;продается;31.01.2022
2354;к. Владикавказ, бул. Тополиный, д. 2/4, 899472;квартира;183;19566597;3;новостройка;+7 (773) 068-71-75;продается;06.12.2020
2355;д. Стерлитамак, пр. Аэродромный, д. 537 стр. 5/1, 014869;земельный участок;183;18797995;1;новостройка;8 (241) 568-45-57;зарезервирован;04.11.2021
2356;д. Палана, бул. Технический, д. 1/6 к. 7, 616533;квартира;39;1412087;4;требует ремонта;+7 (161) 167-05-78;продается;06.02.2022
2357;г. Поярково, ш. Калинина, д. 7 стр. 496, 150137;квартира;36;19820716;5;жилое;81 502 735 519;сдается;07.05.2022
2358;г. Александров Гай, ш. Леваневского, д. 2/2 стр. 806, 048248;квартира;183;14347876;3;жилое;+7 (992) 348-6970;зарезервирован;20.03.2023
2359;г. Усть-Ишим, бул. Орджоникидзе, д. 95 к. 717, 158043;дом;149;3554378;3;новостройка;77 579 480 988;продается;07.02.2023
2360;г. Мытищи, ул. Тельмана, д. 2/7 стр. 7, 048301;квартира;141;15358546;4;новостройка;8 762 719 78 31;продается;06.05.2022
2361;к. Сковородино, наб. Дальняя, д. 567, 523829;дом;130;14277295;3;требует ремонта;+7 822 800 77 66;сдается;21.07.2021
2362;клх Камышин, алл. Пригородная, д. 7/3 к. 59, 319398;земельный участок;33;13505833;3;жилое;+7 (781) 219-6459;сдается;06.09.2020
2363;п. Урюпинск, алл. Виноградная, д. 9/5 стр. 543, 596806;земельный участок;150;2709625;3;новостройка;82990287422;продается;13.02.2023
2364;с. Салехард, наб. 9 мая, д. 858 стр. 9, 804366;дом;148;5864220;4;новостройка;83001596944;зарезервирован;18.10.2022
2365;с. Тотьма, алл. Волочаевская, д. 69 стр. 2, 215557;земельный участок;49;12137390;4;новостройка;79 864 399 410;зарезервирован;22.01.2022
2366;п. Мытищи, пр. Огородный, д. 88 к. 57, 508508;квартира;179;15566065;1;требует ремонта;70 547 863 056;продается;12.02.2021
2367;д. Челюскин, бул. Пожарского, д. 98 стр. 8/4, 424885;дом;190;16077487;5;требует ремонта;72906829382;сдается;04.02.2021
2368;с. Братск, наб. Некрасова, д. 316, 334865;дом;159;15853525;4;новостройка;+7 880 903 73 26;зарезервирован;06.01.2023
2369;с. Муром, алл. Донская, д. 5, 168125;квартира;43;16595169;2;требует ремонта;8 (466) 929-14-64;продается;08.06.2023
2370;с. Охотск, алл. Набережная, д. 231, 036922;земельный участок;69;13760762;5;новостройка;86 931 440 354;продается;31.08.2020
2371;п. Петрозаводск, наб. Фурманова, д. 1/8 стр. 7/6, 472588;дом;55;12361931;1;новостройка;+7 (230) 619-29-38;сдается;26.04.2021
2372;д. Соль-Илецк, ул. Ореховая, д. 6, 832682;дом;52;9151378;2;жилое;+7 (058) 207-79-41;зарезервирован;03.03.2023
2373;д. Александровск-Сахалинский, алл. Вахитова, д. 47 стр. 8/4, 282136;дом;185;14892002;1;новостройка;+7 (694) 328-3347;зарезервирован;14.02.2022
2374;п. Тобольск, пр. Торговый, д. 2/7, 418010;дом;60;3612488;2;новостройка;88 187 879 409;продается;29.07.2020
2375;клх Сунтар, ш. Семашко, д. 529 к. 968, 364984;земельный участок;160;19794190;1;требует ремонта;78176575697;продается;02.11.2020
2376;п. Благовещенск (Амур.), ш. Гайдара, д. 57 стр. 7, 627197;земельный участок;154;9865639;1;новостройка;+7 (887) 240-5850;продается;23.07.2023
2377;с. Петрозаводск, ш. Свободы, д. 92 к. 7/3, 893970;земельный участок;52;15628304;4;жилое;8 (807) 890-04-96;продается;11.12.2021
2378;д. Оренбург, алл. Куйбышева, д. 5/3 стр. 924, 005849;земельный участок;89;12376067;3;новостройка;+7 310 799 43 89;продается;20.10.2020
2379;п. Палана, алл. Нижняя, д. 172 к. 7, 414790;дом;174;16741651;5;новостройка;75 274 294 902;сдается;07.04.2021
2380;ст. Ульяновск, ул. Титова, д. 93, 054412;дом;158;5832903;2;требует ремонта;70742781875;продается;07.08.2021
2381;клх Оса, пер. 60 лет СССР, д. 82 стр. 5/1, 899363;дом;67;6059171;3;жилое;+7 (678) 953-1043;сдается;01.01.2021
2382;к. Борзя, бул. Калужский, д. 1 стр. 54, 337093;квартира;47;18862384;4;новостройка;+7 (219) 448-5149;сдается;18.07.2023
2383;п. Хабаровск, алл. Котовского, д. 46, 413412;квартира;65;7985042;3;новостройка;+7 268 014 00 15;зарезервирован;30.05.2023
2384;д. Охотск, пр. Прудовой, д. 506 к. 52, 588430;дом;81;16795869;5;жилое;79 946 200 451;продается;22.12.2021
2385;г. Азов (Рост.), бул. Целинный, д. 235 к. 5, 986308;дом;46;13046086;1;требует ремонта;8 009 931 64 58;зарезервирован;14.01.2023
2386;п. Октябрьское (Челяб.), алл. Энгельса, д. 681, 941867;земельный участок;179;3632256;5;требует ремонта;+7 (580) 526-3710;зарезервирован;01.10.2022
2387;к. Ахтубинск, пр. Вокзальный, д. 9, 615717;дом;127;16115955;2;требует ремонта;8 (061) 553-46-97;сдается;27.12.2021
2388;клх Галич, пр. Котовского, д. 912 стр. 4/2, 219344;земельный участок;77;9911756;4;требует ремонта;+7 (390) 662-3040;зарезервирован;29.08.2020
2389;к. Новая Игирма, бул. Попова, д. 83 к. 5, 235303;дом;33;5628455;1;новостройка;+7 (566) 789-4546;сдается;21.10.2021
2390;ст. Тобольск, ул. Профсоюзная, д. 53, 388299;дом;163;9251937;2;требует ремонта;8 (996) 331-80-36;продается;15.10.2021
2391;к. Корсаков, ш. Приозерное, д. 963 к. 875, 438324;дом;171;5128896;4;жилое;8 787 437 90 92;продается;26.12.2020
2392;ст. Оленегорск (Якут.), наб. Попова, д. 777 к. 4, 890910;земельный участок;21;6319948;3;требует ремонта;76646735636;зарезервирован;17.07.2023
2393;п. Арзамас, алл. Комарова, д. 4/4, 880583;квартира;62;4580063;2;новостройка;+7 (879) 789-5611;зарезервирован;26.04.2023
2394;ст. Тайшет, пер. Толбухина, д. 406, 662207;земельный участок;47;1283276;3;новостройка;8 (804) 930-2441;зарезервирован;04.06.2021
2395;ст. Сыктывкар, ш. Астраханское, д. 257, 934130;квартира;198;11465745;1;требует ремонта;8 (537) 072-0893;продается;28.03.2023
2396;клх Кашхатау, наб. Льва Толстого, д. 478 к. 31, 226933;дом;135;1515197;4;требует ремонта;+7 (584) 663-6228;сдается;09.08.2022
2397;к. Челюскин, наб. Степная, д. 92 к. 23, 178670;земельный участок;157;3184083;2;жилое;+7 (149) 311-85-67;сдается;29.01.2022
2398;п. Южно-Сахалинск, ул. Мирная, д. 3/8 стр. 50, 555925;дом;136;14975732;3;новостройка;72 970 055 968;сдается;07.10.2022
2399;с. Белый Яр (Томск.), пр. Абрикосовый, д. 897 к. 23, 162345;квартира;192;19154666;4;жилое;77 570 701 410;продается;08.02.2023
2400;к. Билибино, наб. Томская, д. 1/1 к. 6, 098461;квартира;20;4760501;1;жилое;8 (250) 766-95-08;продается;03.12.2021
2401;клх Костомукша, пер. Веселый, д. 69 стр. 94, 120636;квартира;162;2987634;5;новостройка;+7 351 445 72 76;продается;24.08.2021
2402;к. Юрьев-Польский, пр. Рылеева, д. 73 к. 8/3, 288514;дом;186;12887053;5;требует ремонта;77 277 679 410;продается;21.10.2022
2403;д. Двинской, алл. Спартака, д. 948, 088465;земельный участок;122;6437792;1;жилое;8 (930) 766-3996;зарезервирован;24.04.2023
2404;д. Терскол, пр. Шолохова, д. 4 стр. 729, 701860;дом;121;18068118;3;требует ремонта;+7 (583) 646-42-65;сдается;29.12.2021
2405;к. Семлячики, алл. Снежная, д. 12, 877139;дом;158;9510944;1;новостройка;8 788 955 16 92;сдается;19.09.2021
2406;д. Солнечногорск, наб. Ульяновская, д. 8/6, 218866;земельный участок;179;4535169;2;требует ремонта;+7 (828) 178-72-13;продается;18.06.2021
2407;г. Елец, пр. Нефтяников, д. 81 к. 62, 189488;квартира;153;9023371;2;жилое;78 250 977 524;сдается;16.05.2021
2408;к. Нефтеюганск, пер. Транспортный, д. 37 стр. 6, 387016;квартира;192;18451985;3;жилое;8 215 633 43 82;сдается;18.12.2021
2409;ст. Вендинга, бул. Водников, д. 834, 723259;квартира;93;10433112;3;жилое;8 006 091 33 45;продается;01.02.2021
2410;клх Ногинск (Моск.), ул. Металлургов, д. 9/1 стр. 3/5, 740795;квартира;83;14478831;1;новостройка;+7 224 646 56 57;продается;22.09.2022
2411;д. Игнашино, пер. Колхозный, д. 51 к. 1/7, 262873;дом;110;3100165;2;жилое;+7 (158) 072-6005;сдается;01.01.2021
2412;ст. Сладково, ш. Поперечное, д. 78 стр. 6/5, 773613;дом;128;1518935;5;жилое;83794634394;продается;29.01.2023
2413;ст. Куртамыш, пр. Шолохова, д. 6/7, 749185;земельный участок;105;11602867;4;требует ремонта;+7 (669) 016-90-12;продается;02.01.2023
2414;с. Дмитров, пр. Красный, д. 8 к. 4/2, 973400;дом;154;17883266;5;новостройка;+7 278 353 70 22;сдается;04.03.2023
2415;д. Шатой, бул. Октябрьский, д. 606, 485587;дом;159;13153552;1;новостройка;83 499 280 602;продается;05.07.2021
2416;д. Тикси, алл. Красная, д. 1, 819204;земельный участок;83;11443101;5;жилое;+7 (940) 371-92-19;продается;27.08.2020
2417;клх Троицк (Моск.), пр. Дзержинского, д. 8, 203604;земельный участок;104;7617355;1;жилое;86 674 149 192;сдается;20.12.2022
2418;п. Губкинский, алл. Зеленая, д. 6 стр. 8, 956406;дом;144;6468284;4;новостройка;8 (722) 536-6858;продается;07.11.2021
2419;г. Бугульма, алл. 60 лет Октября, д. 474 стр. 6/9, 697169;земельный участок;86;3652580;4;требует ремонта;+7 622 465 10 45;сдается;08.07.2022
2420;к. Дербент, наб. Морская, д. 2, 840936;дом;154;10333568;5;жилое;85477482044;зарезервирован;27.03.2021
2421;г. Партизанск, пр. Калинина, д. 5 стр. 553, 251663;квартира;54;4017448;4;жилое;89083623955;сдается;29.08.2020
2422;с. Черский, бул. Кавказский, д. 29, 940660;дом;80;17819407;2;новостройка;+7 (794) 708-87-01;сдается;04.08.2020
2423;с. Уфа, алл. Новостройка, д. 22 стр. 6/8, 023368;земельный участок;200;6071641;2;новостройка;8 (004) 972-80-53;продается;14.03.2021
2424;п. Медногорск, ш. Ленинское, д. 326 стр. 834, 759398;земельный участок;176;14387850;2;жилое;+7 482 577 95 32;сдается;17.04.2023
2425;п. Хасавюрт, ул. Студенческая, д. 8/5 стр. 259, 325779;квартира;112;9754011;1;требует ремонта;82 121 067 323;сдается;30.07.2022
2426;с. Абакан, ул. Волгоградская, д. 708 стр. 59, 131353;квартира;88;5265289;2;жилое;8 214 399 81 68;зарезервирован;25.07.2020
2427;ст. Сухиничи, пр. Короткий, д. 8 стр. 75, 586034;дом;22;11469067;1;требует ремонта;8 577 473 77 06;зарезервирован;07.06.2022
2428;с. Ямбург, наб. Саратовская, д. 97, 051748;земельный участок;119;1981091;5;новостройка;74 591 515 777;сдается;30.11.2021
2429;г. Муром, ул. Воронежская, д. 2, 104593;земельный участок;67;15175333;5;жилое;86774748801;сдается;22.06.2023
2430;ст. Жиганск, пр. Ворошилова, д. 4/6 к. 4/6, 386363;земельный участок;34;4334844;2;требует ремонта;+7 218 389 77 29;сдается;17.07.2022
2431;клх Камень-на-Оби, пр. Пролетарский, д. 53 к. 83, 905748;дом;86;10112306;1;новостройка;88 205 227 875;сдается;16.12.2022
2432;с. Терней, алл. Волгоградская, д. 5 к. 7, 667320;земельный участок;123;4127704;4;требует ремонта;8 606 560 83 02;продается;26.03.2021
2433;с. Оленегорск (Якут.), пр. Горняцкий, д. 87, 662016;земельный участок;92;18545610;5;жилое;+7 (988) 816-1092;зарезервирован;16.03.2022
2434;к. Нефедова, ул. Запорожская, д. 5/3, 177878;земельный участок;20;4601267;5;требует ремонта;8 377 524 61 20;сдается;14.12.2020
2435;к. Химки, алл. Ясная, д. 904, 174766;земельный участок;43;19338229;4;жилое;73 198 350 858;зарезервирован;03.11.2020
2436;клх Тобольск, пр. Новостройка, д. 888, 369672;земельный участок;96;7031622;3;жилое;+7 569 629 41 58;продается;18.01.2022
2437;клх Алагир, алл. 50 лет Октября, д. 752 к. 673, 131644;земельный участок;160;17728186;5;новостройка;8 279 897 22 79;зарезервирован;12.09.2020
2438;г. Стерлитамак, алл. Тургенева, д. 9, 822684;земельный участок;181;12150521;1;жилое;76018991823;продается;01.06.2021
2439;д. Верхоянск, ул. Заречная, д. 3/9 к. 37, 910932;дом;146;3391490;1;жилое;+7 257 501 45 27;сдается;05.05.2023
2440;клх Камышин, пер. Промышленный, д. 47 к. 38, 975105;дом;174;11724945;1;требует ремонта;82 431 255 183;зарезервирован;21.03.2022
2441;к. Тавда, алл. Линейная, д. 10 стр. 161, 529926;дом;67;10111368;5;жилое;+7 (594) 119-34-68;зарезервирован;06.11.2022
